Dias desde que se fueron ovinos,Abundancia(Esfuerzo*carga),Abundancia(Esfuerzo),Carga,Peso Fresco Fecas/carga,Pendiente
32,0,0,88.73239437,0.118959436,0.039312567
32,0,0,88.73239437,0.080141093,0.019047619
32,0,0,88.73239437,0.020035273,0.005816555
28,0.002335504,0.194026499,83.07692308,0.016049383,0.15015015
28,0.00389207,0.323341192,83.07692308,0.008024691,0.298492462
28,0.003110862,0.25844083,83.07692308,0,0.227650728
22,0,0,27,0.106995885,0.036909091
22,0.002959346,0.079902342,27,0.020576132,0.111713666
22,0.007693446,0.207723036,27,0,0.054574812
